time,DHG,target,VNINDEX_lag2,PHARMA_lag1
2023-02-27,87.56,0,1053.66,23.8971186440678
2023-02-28,87.47,1,1039.56,24.04084745762712
2023-03-02,88.28,0,1021.25,23.93898305084745
2023-03-03,88.1,0,1024.68,23.994745762711865
2023-03-06,87.01,1,1037.61,23.781186440677963
2023-03-07,87.37,0,1024.77,23.74627118644068
2023-03-08,87.28,1,1027.18,23.728305084745763
2023-03-09,87.37,0,1037.84,23.597627118644063
2023-03-10,87.37,0,1049.18,23.79258620689655
2023-03-13,87.37,0,1055.95,23.80067796610169
2023-03-14,86.74,1,1053.0,23.84169491525424
2023-03-15,87.65,0,1052.8,23.69
2023-03-16,86.47,0,1040.13,23.598813559322032
2023-03-17,84.74,0,1062.19,23.56813559322034
2023-03-20,84.47,0,1047.4,23.792033898305085
2023-03-21,84.1,1,1045.14,23.839830508474577
2023-03-23,85.29,0,1023.1,23.836779661016948
2023-03-24,85.29,0,1032.43,23.73322033898305
2023-03-27,84.92,0,1045.1,23.705689655172414
2023-03-28,84.74,0,1046.79,23.61586206896552
2023-03-29,84.47,0,1052.25,23.60169491525424
2023-03-30,84.2,0,1054.29,23.219830508474576
2023-03-31,84.2,1,1056.33,23.361206896551725
2023-04-03,84.29,0,1059.44,23.23237288135593
2023-04-04,83.92,0,1064.64,23.139322033898303
2023-04-05,83.74,1,1079.28,23.25224137931034
2023-04-06,83.83,0,1078.45,23.0864406779661
2023-04-07,83.11,1,1080.86,22.984745762711864
2023-04-10,83.92,0,1070.91,22.982881355932204
2023-04-11,83.56,1,1069.71,23.232033898305087
2023-04-12,83.65,0,1065.35,23.197627118644068
2023-04-13,83.65,1,1069.46,23.332203389830507
2023-04-14,84.83,0,1069.45,23.26084745762712
2023-04-17,84.56,0,1064.3,23.18118644067797
2023-04-18,84.56,0,1052.89,23.22203389830508
2023-04-19,83.47,1,1053.81,23.206206896551723
2023-04-20,84.01,1,1055.02,23.48741379310345
2023-04-21,89.83,1,1048.98,23.478793103448275
2023-04-24,94.64,0,1049.25,23.733448275862067
2023-04-25,93.55,1,1042.91,23.908644067796608
2023-04-26,95.91,0,1041.36,23.62103448275862
2023-04-27,95.91,1,1034.85,23.394915254237286
2023-04-28,96.09,1,1040.8,23.47254237288136
2023-05-04,102.72,1,1039.63,23.332711864406782
2023-05-05,105.36,0,1049.12,23.692711864406785
2023-05-08,104.45,0,1040.61,24.04338983050848
2023-05-09,103.45,0,1040.31,24.12627118644068
2023-05-10,102.14,1,1053.44,24.069322033898302
2023-05-11,103.07,0,1053.77,24.05237288135593
2023-05-12,101.48,1,1058.26,24.316101694915258
2023-05-15,102.79,1,1057.12,24.37220338983051
2023-05-16,103.17,0,1066.9,24.534915254237287
2023-05-17,102.98,1,1065.71,24.48
2023-05-18,104.01,0,1065.91,24.32694915254237
2023-05-19,103.17,1,1060.44,24.4664406779661
2023-05-22,103.63,1,1068.31,24.212033898305084
2023-05-23,104.01,0,1067.07,24.19627118644068
2023-05-24,103.92,1,1070.64,24.51898305084746
2023-05-25,106.91,0,1065.85,24.19813559322034
2023-05-26,104.95,0,1061.79,24.7242372881356
2023-05-29,102.14,1,1064.63,24.192203389830507
2023-05-30,105.13,0,1063.76,24.522881355932203
2023-05-31,103.17,1,1074.98,24.761525423728816
2023-06-01,105.88,0,1078.05,24.60728813559322
2023-06-02,104.95,0,1075.17,25.158135593220337
2023-06-05,103.35,1,1078.39,24.78508474576271
2023-06-06,105.13,0,1090.84,24.933559322033897
2023-06-07,105.13,1,1097.82,24.82293103448276
2023-06-08,110.57,1,1108.31,25.149491525423727
2023-06-09,118.25,1,1109.54,25.23169491525424
2023-06-12,118.91,0,1101.32,25.602203389830507
2023-06-13,117.88,0,1107.53,25.651186440677968
2023-06-14,116.19,1,1116.02,25.85406779661017
2023-06-15,117.78,0,1122.46,25.926440677966102
2023-06-16,116.19,0,1117.42,25.91491525423729
2023-06-19,116.19,1,1116.97,26.23237288135593
2023-06-20,119.0,0,1115.22,26.42508474576271
2023-06-21,115.25,0,1105.4,26.09508474576271
2023-06-22,114.88,1,1111.72,26.12593220338983
2023-06-23,115.91,1,1118.46,25.86576271186441
2023-06-26,120.88,1,1125.3,25.891551724137933
2023-06-27,124.91,0,1129.38,25.78796610169492
2023-06-28,123.5,0,1132.03,26.32220338983051
2023-06-29,120.41,0,1134.33,26.180000000000003
2023-06-30,120.41,1,1138.35,26.49508474576272
2023-07-03,125.37,0,1125.39,26.588474576271185
2023-07-04,121.81,1,1120.18,26.638448275862068
2023-07-05,124.25,0,1125.5,26.517068965517243
2023-07-06,122.66,1,1132.0,26.560701754385967
2023-07-07,126.4,1,1134.62,26.564310344827582
2023-07-10,126.5,0,1126.22,26.356896551724137
2023-07-11,125.56,0,1138.07,26.50068965517241
2023-07-12,124.16,0,1149.02,26.463620689655173
2023-07-13,123.78,0,1151.77,26.433389830508474
2023-07-14,121.81,0,1154.2,26.5635593220339
2023-07-17,119.0,1,1165.42,26.45728813559322
2023-07-18,121.63,1,1168.4,26.43406779661017
2023-07-19,130.06,1,1173.13,26.47694915254237
2023-07-20,130.81,0,1174.09,26.575084745762712
2023-07-21,121.72,0,1172.98,26.709322033898303
2023-07-24,116.85,0,1172.81,26.7028813559322
2023-07-25,116.28,1,1185.9,26.52155172413793
2023-07-26,117.13,0,1190.72,26.443103448275863
2023-07-27,111.6,0,1195.9,26.59603448275862
2023-07-28,109.63,1,1200.84,26.430344827586207
2023-07-31,115.25,0,1197.33,26.54672413793104
2023-08-01,111.51,1,1207.67,26.472586206896555
2023-08-02,112.16,1,1222.9,26.55155172413793
2023-08-03,112.72,0,1217.56,26.518103448275863
2023-08-04,112.16,0,1220.43,26.48465517241379
2023-08-07,111.41,0,1210.95,26.41413793103448
2023-08-08,110.48,0,1225.98,26.18033898305085
2023-08-09,109.73,0,1241.42,26.140508474576272
2023-08-10,108.69,0,1242.23,26.468474576271188
2023-08-11,108.69,0,1233.99,26.291016949152542
2023-08-14,108.69,1,1220.61,26.064406779661017
2023-08-15,112.35,0,1232.21,26.19627118644068
2023-08-16,109.91,0,1236.84,26.20338983050848
2023-08-17,107.76,0,1234.05,26.162711864406777
2023-08-18,107.76,0,1243.26,26.225762711864405
2023-08-21,107.76,0,1233.48,25.86525423728813
2023-08-22,106.82,0,1177.99,25.98677966101695
2023-08-23,106.63,1,1179.76,25.70271186440678
2023-08-24,106.73,1,1180.49,25.75
2023-08-25,108.41,1,1172.56,25.932881355932203
2023-08-28,108.98,0,1189.39,25.95661016949153
2023-08-29,107.95,1,1183.37,26.008474576271187
2023-08-30,109.07,1,1201.72,26.46237288135593
2023-08-31,110.57,0,1204.43,26.57593220338983
2023-09-05,110.48,1,1213.16,26.50305084745763
2023-09-06,114.32,1,1224.05,26.646949152542373
2023-09-07,115.72,0,1234.98,26.97406779661017
2023-09-08,114.13,0,1245.5,27.22186440677966
2023-09-11,112.16,1,1243.14,26.95050847457627
2023-09-12,115.54,0,1241.48,26.981355932203392
2023-09-13,112.91,0,1223.63,26.92169491525424
2023-09-14,111.04,0,1245.44,27.045084745762715
2023-09-15,110.57,1,1238.39,27.008474576271187
2023-09-18,110.94,1,1223.81,26.821016949152543
2023-09-19,111.32,0,1227.36,26.806949152542373
2023-09-20,111.13,1,1211.81,26.86220338983051
2023-09-21,111.22,0,1211.5,26.80152542372881
2023-09-22,110.48,0,1226.11,26.888813559322035
2023-09-25,108.69,1,1212.74,26.80084745762712
2023-09-26,108.88,1,1193.05,26.34542372881356
2023-09-27,109.82,0,1153.2,26.36728813559322
2023-09-28,109.07,1,1137.96,26.47186440677966
2023-09-29,109.63,1,1153.85,26.176440677966102
2023-10-02,111.22,0,1152.43,26.450677966101694
2023-10-03,109.35,0,1154.15,26.48220338983051
2023-10-04,109.26,1,1155.25,26.359491525423728
2023-10-05,109.35,1,1118.1,26.2842372881356
2023-10-06,110.1,1,1128.67,26.360169491525426
2023-10-09,114.5,0,1113.89,26.55457627118644
2023-10-10,114.04,0,1128.54,26.800508474576272
2023-10-11,113.66,0,1137.36,26.948983050847456
2023-10-12,113.1,0,1143.69,26.63389830508475
2023-10-13,112.44,0,1150.81,26.780169491525424
2023-10-16,112.16,0,1151.61,26.88254237288136
2023-10-17,111.13,0,1154.73,26.796440677966103
2023-10-18,108.13,0,1141.42,26.772711864406777
